epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,39.474,3.02282,5.40687,2.72416,0,0,0,0,3.19083,5.25977,2.93446,4.94663e-05,4.94663e-05,4.94663e-05
24,40.4093,3.08003,5.37139,2.81646,0,0,0,0,3.05786,5.24012,2.84488,5.0995e-05,5.0995e-05,5.0995e-05
25,41.3976,3.15915,5.39811,2.9579,0,0,0,0,3.05786,5.24012,2.84488,5.24684e-05,5.24684e-05,5.24684e-05
26,42.2847,3.16975,5.41997,2.83493,0,0,0,0,3.05786,5.24012,2.84488,5.38865e-05,5.38865e-05,5.38865e-05
27,43.1865,2.94561,5.33367,2.89607,0,0,0,0,3.05786,5.24012,2.84488,5.52494e-05,5.52494e-05,5.52494e-05
28,44.065,2.77319,5.18308,2.68018,0,0,0,0,3.05786,5.24012,2.84488,5.65571e-05,5.65571e-05,5.65571e-05
29,45.0804,2.72554,5.28833,2.69061,0,0,0,0,2.96187,5.24568,2.78066,5.78095e-05,5.78095e-05,5.78095e-05
30,45.9977,2.8285,5.289,2.54506,0,0,0,0,2.96187,5.24568,2.78066,5.90067e-05,5.90067e-05,5.90067e-05
31,47.103,2.98921,5.31704,2.85358,0,0,0,0,2.96187,5.24568,2.78066,6.01487e-05,6.01487e-05,6.01487e-05
32,48.0148,2.56288,5.23965,2.46163,0,0,0,0,2.96187,5.24568,2.78066,6.12354e-05,6.12354e-05,6.12354e-05
33,49.0727,2.91199,5.28024,2.71994,0,0,0,0,2.96187,5.24568,2.78066,6.22668e-05,6.22668e-05,6.22668e-05
34,50.0935,2.8497,5.27382,2.65637,0,0,0,0,2.82693,5.2209,2.67835,6.26169e-05,6.26169e-05,6.26169e-05
35,51.013,2.80344,5.33593,2.60911,0,0,0,0,2.82693,5.2209,2.67835,6.16962e-05,6.16962e-05,6.16962e-05
36,51.9762,2.92547,5.36905,2.87863,0,0,0,0,2.82693,5.2209,2.67835,6.07755e-05,6.07755e-05,6.07755e-05
37,52.8764,2.8993,5.37683,2.6512,0,0,0,0,2.82693,5.2209,2.67835,5.98548e-05,5.98548e-05,5.98548e-05
38,53.7392,2.84409,5.36244,2.5747,0,0,0,0,2.82693,5.2209,2.67835,5.89341e-05,5.89341e-05,5.89341e-05
39,54.7305,2.89129,5.34895,2.65659,0,0,0,0,2.82693,5.2209,2.67835,5.80134e-05,5.80134e-05,5.80134e-05
40,55.6538,2.57983,5.24124,2.56085,0,0,0,0,2.77575,5.18278,2.63514,5.70927e-05,5.70927e-05,5.70927e-05
41,56.692,3.25932,5.45986,2.90873,0,0,0,0,2.77575,5.18278,2.63514,5.6172e-05,5.6172e-05,5.6172e-05
42,57.6303,2.70927,5.26343,2.50874,0,0,0,0,2.77575,5.18278,2.63514,5.52513e-05,5.52513e-05,5.52513e-05
43,58.613,2.64115,5.24878,2.4562,0,0,0,0,2.77575,5.18278,2.63514,5.43306e-05,5.43306e-05,5.43306e-05
44,59.5192,2.79299,5.32182,2.61909,0,0,0,0,2.77575,5.18278,2.63514,5.34099e-05,5.34099e-05,5.34099e-05
45,60.5276,2.81004,5.2688,2.67753,0,0,0,0,2.74179,5.16486,2.6187,5.24892e-05,5.24892e-05,5.24892e-05
46,61.5021,2.77915,5.24506,2.55117,0,0,0,0,2.74179,5.16486,2.6187,5.15685e-05,5.15685e-05,5.15685e-05
47,62.4844,2.93481,5.24424,2.71692,0,0,0,0,2.74179,5.16486,2.6187,5.06478e-05,5.06478e-05,5.06478e-05
48,63.4648,2.73198,5.2873,2.58236,0,0,0,0,2.74179,5.16486,2.6187,4.97271e-05,4.97271e-05,4.97271e-05
49,64.4393,2.6975,5.25781,2.52527,0,0,0,0,2.74179,5.16486,2.6187,4.88064e-05,4.88064e-05,4.88064e-05
50,65.3996,2.69528,5.21509,2.57456,0,0,0,0,2.72033,5.1501,2.60299,4.78857e-05,4.78857e-05,4.78857e-05
51,66.3933,2.46232,5.26718,2.36728,0,0,0,0,2.72033,5.1501,2.60299,4.6965e-05,4.6965e-05,4.6965e-05
52,67.3296,2.70908,5.18694,2.58167,0,0,0,0,2.72033,5.1501,2.60299,4.60443e-05,4.60443e-05,4.60443e-05
53,68.2785,2.91748,5.33275,2.56658,0,0,0,0,2.72033,5.1501,2.60299,4.51236e-05,4.51236e-05,4.51236e-05
54,69.1764,2.81568,5.26811,2.57404,0,0,0,0,2.72033,5.1501,2.60299,4.42029e-05,4.42029e-05,4.42029e-05
55,69.988,2.73398,5.24942,2.57961,0,0,0,0,2.72033,5.1501,2.60299,4.32822e-05,4.32822e-05,4.32822e-05
56,70.9793,2.94952,5.38027,2.64751,0,0,0,0,2.70579,5.12199,2.58306,4.23615e-05,4.23615e-05,4.23615e-05
57,71.8879,2.77367,5.23686,2.5884,0,0,0,0,2.70579,5.12199,2.58306,4.14408e-05,4.14408e-05,4.14408e-05
58,72.7359,2.91336,5.24998,2.80266,0,0,0,0,2.70579,5.12199,2.58306,4.05201e-05,4.05201e-05,4.05201e-05
59,73.5637,2.54547,5.20603,2.44102,0,0,0,0,2.70579,5.12199,2.58306,3.95994e-05,3.95994e-05,3.95994e-05
60,74.4679,2.6112,5.20625,2.5026,0,0,0,0,2.70579,5.12199,2.58306,3.86787e-05,3.86787e-05,3.86787e-05
61,75.3772,2.53447,5.25024,2.45908,0,0,0,0,2.69778,5.10468,2.5795,3.7758e-05,3.7758e-05,3.7758e-05
62,76.3827,2.56861,5.29394,2.43573,0,0,0,0,2.69778,5.10468,2.5795,3.68373e-05,3.68373e-05,3.68373e-05
63,77.3061,2.86971,5.34334,2.58461,0,0,0,0,2.69778,5.10468,2.5795,3.59166e-05,3.59166e-05,3.59166e-05
64,78.228,2.53041,5.17496,2.42492,0,0,0,0,2.69778,5.10468,2.5795,3.49959e-05,3.49959e-05,3.49959e-05
65,79.2681,2.61634,5.23099,2.57202,0,0,0,0,2.69778,5.10468,2.5795,3.40752e-05,3.40752e-05,3.40752e-05
66,80.3298,2.70384,5.26625,2.43941,0,0,0,0,2.66499,5.07954,2.56268,3.31545e-05,3.31545e-05,3.31545e-05
67,81.4154,2.58792,5.14493,2.46277,0,0,0,0,2.66499,5.07954,2.56268,3.22338e-05,3.22338e-05,3.22338e-05
68,82.4803,2.70298,5.25484,2.55174,0,0,0,0,2.66499,5.07954,2.56268,3.13131e-05,3.13131e-05,3.13131e-05
69,83.4924,2.88489,5.39562,2.6661,0,0,0,0,2.66499,5.07954,2.56268,3.03924e-05,3.03924e-05,3.03924e-05
70,84.5999,2.85959,5.3215,2.66007,0,0,0,0,2.66499,5.07954,2.56268,2.94717e-05,2.94717e-05,2.94717e-05
71,85.756,2.85686,5.324,2.57064,0,0,0,0,2.66499,5.07954,2.56268,2.8551e-05,2.8551e-05,2.8551e-05
72,86.8639,2.61615,5.14592,2.49245,0.01786,0.00397,0.00992,0.00893,2.69779,5.08206,2.56428,2.76303e-05,2.76303e-05,2.76303e-05
73,88.0845,2.74796,5.24654,2.50442,0.01786,0.00397,0.00992,0.00893,2.69779,5.08206,2.56428,2.67096e-05,2.67096e-05,2.67096e-05
74,89.0193,2.55444,5.15588,2.38961,0.01786,0.00397,0.00992,0.00893,2.69779,5.08206,2.56428,2.57889e-05,2.57889e-05,2.57889e-05
75,89.9079,2.48686,5.19598,2.33646,0.01786,0.00397,0.00992,0.00893,2.69779,5.08206,2.56428,2.48682e-05,2.48682e-05,2.48682e-05
76,90.8227,2.62578,5.21511,2.44285,0.01786,0.00397,0.00992,0.00893,2.69779,5.08206,2.56428,2.39475e-05,2.39475e-05,2.39475e-05
77,91.9594,2.59123,5.23527,2.42291,0.01786,0.00397,0.00992,0.00893,2.68931,5.0696,2.55166,2.30268e-05,2.30268e-05,2.30268e-05
78,92.8389,2.69263,5.26786,2.47419,0.01786,0.00397,0.00992,0.00893,2.68931,5.0696,2.55166,2.21061e-05,2.21061e-05,2.21061e-05
79,93.7069,2.59959,5.2414,2.38653,0.01786,0.00397,0.00992,0.00893,2.68931,5.0696,2.55166,2.11854e-05,2.11854e-05,2.11854e-05
80,94.6095,2.72764,5.23501,2.50447,0.01786,0.00397,0.00992,0.00893,2.68931,5.0696,2.55166,2.02647e-05,2.02647e-05,2.02647e-05
81,95.711,2.70615,5.2798,2.46125,0.01786,0.00397,0.00992,0.00893,2.68931,5.0696,2.55166,1.9344e-05,1.9344e-05,1.9344e-05
82,96.7628,2.31244,5.13056,2.29235,0.0119,0.00397,0.0073,0.00657,2.64916,5.05167,2.53588,1.84233e-05,1.84233e-05,1.84233e-05
83,97.7081,2.48819,5.18683,2.34622,0.0119,0.00397,0.0073,0.00657,2.64916,5.05167,2.53588,1.75026e-05,1.75026e-05,1.75026e-05
84,98.732,2.54931,5.14162,2.44788,0.0119,0.00397,0.0073,0.00657,2.64916,5.05167,2.53588,1.65819e-05,1.65819e-05,1.65819e-05
85,99.7691,2.40855,5.12588,2.39387,0.0119,0.00397,0.0073,0.00657,2.64916,5.05167,2.53588,1.56612e-05,1.56612e-05,1.56612e-05
86,100.778,2.72926,5.32896,2.49376,0.0119,0.00397,0.0073,0.00657,2.64916,5.05167,2.53588,1.47405e-05,1.47405e-05,1.47405e-05
87,101.699,2.55756,5.16334,2.38783,0.0119,0.00397,0.0073,0.00657,2.64916,5.05167,2.53588,1.38198e-05,1.38198e-05,1.38198e-05
88,102.684,2.52403,5.19622,2.4703,0.04464,0.02183,0.03277,0.0289,2.62494,5.04449,2.52602,1.28991e-05,1.28991e-05,1.28991e-05
89,103.808,2.38873,5.11632,2.28836,0.04464,0.02183,0.03277,0.0289,2.62494,5.04449,2.52602,1.19784e-05,1.19784e-05,1.19784e-05
90,104.901,2.58962,5.11077,2.46846,0.04464,0.02183,0.03277,0.0289,2.62494,5.04449,2.52602,1.10577e-05,1.10577e-05,1.10577e-05
91,139.024,3.07358,5.41481,2.80857,0.04464,0.02183,0.03277,0.0289,2.62494,5.04449,2.52602,1.0137e-05,1.0137e-05,1.0137e-05
92,140.01,2.98895,5.35922,2.8144,0.04464,0.02183,0.03277,0.0289,2.62494,5.04449,2.52602,9.2163e-06,9.2163e-06,9.2163e-06
93,140.984,2.98856,5.39063,2.63933,0.0119,0.00397,0.0073,0.00438,2.6475,5.03897,2.52215,8.2956e-06,8.2956e-06,8.2956e-06
94,141.997,2.99267,5.36284,2.74623,0.0119,0.00397,0.0073,0.00438,2.6475,5.03897,2.52215,7.3749e-06,7.3749e-06,7.3749e-06
95,142.943,2.79546,5.308,2.56875,0.0119,0.00397,0.0073,0.00438,2.6475,5.03897,2.52215,6.4542e-06,6.4542e-06,6.4542e-06
96,143.873,3.04156,5.41548,2.78689,0.0119,0.00397,0.0073,0.00438,2.6475,5.03897,2.52215,5.5335e-06,5.5335e-06,5.5335e-06
97,144.914,2.91157,5.35435,2.73139,0.0119,0.00397,0.0073,0.00438,2.6475,5.03897,2.52215,4.6128e-06,4.6128e-06,4.6128e-06
98,146.054,2.98897,5.44755,2.76095,0.02143,0.0119,0.01482,0.00979,2.60389,5.01556,2.53535,3.6921e-06,3.6921e-06,3.6921e-06
99,147.024,2.8869,5.36008,2.75058,0.02143,0.0119,0.01482,0.00979,2.60389,5.01556,2.53535,2.7714e-06,2.7714e-06,2.7714e-06
100,147.846,2.92382,5.37191,2.81579,0.02143,0.0119,0.01482,0.00979,2.60389,5.01556,2.53535,1.8507e-06,1.8507e-06,1.8507e-06
