epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,329.684,1.8506,1.84415,1.80953,0.67566,0.56384,0.62201,0.33415,1.91186,1.4101,1.77643,8.13378e-05,8.13378e-05,8.13378e-05
40,337.679,1.82088,1.86297,1.8114,0.73652,0.54164,0.62142,0.3392,1.89815,1.38061,1.76786,8.10309e-05,8.10309e-05,8.10309e-05
41,345.901,1.8158,1.75724,1.77242,0.7387,0.53791,0.63348,0.34807,1.86496,1.31473,1.74915,8.0724e-05,8.0724e-05,8.0724e-05
42,355.276,1.79739,1.78203,1.779,0.73423,0.55255,0.63995,0.35969,1.81062,1.26643,1.71962,8.04171e-05,8.04171e-05,8.04171e-05
43,363.147,1.75493,1.6689,1.7122,0.73423,0.55255,0.63995,0.35969,1.81062,1.26643,1.71962,8.01102e-05,8.01102e-05,8.01102e-05
44,371.776,1.72322,1.59419,1.67168,0.71893,0.57402,0.64475,0.37124,1.77233,1.24798,1.69509,7.98033e-05,7.98033e-05,7.98033e-05
45,380.751,1.70757,1.58307,1.67594,0.63842,0.60228,0.64419,0.37871,1.75066,1.22023,1.67015,7.94964e-05,7.94964e-05,7.94964e-05
46,388.809,1.62854,1.59868,1.66054,0.68248,0.61043,0.65277,0.38875,1.72739,1.19154,1.64321,7.91895e-05,7.91895e-05,7.91895e-05
47,397.343,1.66051,1.58352,1.66396,0.72643,0.59843,0.66632,0.39893,1.7216,1.18472,1.63087,7.88826e-05,7.88826e-05,7.88826e-05
48,406.045,1.67982,1.59276,1.64156,0.69229,0.62092,0.67884,0.39746,1.75578,1.17678,1.64041,7.85757e-05,7.85757e-05,7.85757e-05
49,413.663,1.67751,1.65855,1.69173,0.67298,0.64931,0.69325,0.39841,1.77752,1.15721,1.64617,7.82688e-05,7.82688e-05,7.82688e-05
50,422.577,1.58314,1.46788,1.59683,0.73637,0.65088,0.7048,0.40439,1.77895,1.14607,1.64451,7.79619e-05,7.79619e-05,7.79619e-05
51,431.29,1.69034,1.45511,1.59133,0.7878,0.625,0.71398,0.41543,1.74219,1.11507,1.62654,7.7655e-05,7.7655e-05,7.7655e-05
52,439.834,1.66187,1.50598,1.61921,0.76024,0.65091,0.72773,0.44206,1.64088,1.07392,1.57516,7.73481e-05,7.73481e-05,7.73481e-05
53,449.056,1.581,1.5041,1.62529,0.75708,0.65895,0.73514,0.46164,1.55251,1.03425,1.52129,7.70412e-05,7.70412e-05,7.70412e-05
54,457.684,1.60036,1.4441,1.58439,0.78261,0.66194,0.74713,0.45687,1.52783,1.01613,1.50522,7.67343e-05,7.67343e-05,7.67343e-05
55,465.272,1.5438,1.3853,1.53291,0.79844,0.64889,0.75486,0.46174,1.53035,0.99955,1.49802,7.64274e-05,7.64274e-05,7.64274e-05
56,473.814,1.45169,1.26132,1.51265,0.79827,0.6597,0.75469,0.45958,1.55823,0.99006,1.50219,7.61205e-05,7.61205e-05,7.61205e-05
57,482.104,1.50585,1.39018,1.5627,0.77672,0.70458,0.76218,0.44906,1.61085,0.99476,1.52094,7.58136e-05,7.58136e-05,7.58136e-05
58,489.626,1.54805,1.44518,1.60983,0.7785,0.68962,0.75675,0.43356,1.67837,1.01827,1.55763,7.55067e-05,7.55067e-05,7.55067e-05
59,498.206,1.55863,1.35364,1.52281,0.7785,0.68962,0.75675,0.43356,1.67837,1.01827,1.55763,7.51998e-05,7.51998e-05,7.51998e-05
60,506.985,1.55897,1.30949,1.53033,0.77203,0.69056,0.7616,0.42739,1.69384,1.02396,1.56379,7.48929e-05,7.48929e-05,7.48929e-05
61,514.579,1.48551,1.36376,1.54763,0.74788,0.72148,0.76627,0.44068,1.62573,1.00864,1.5194,7.4586e-05,7.4586e-05,7.4586e-05
62,522.842,1.53841,1.34494,1.57071,0.7403,0.72095,0.7704,0.45967,1.52611,0.97345,1.46063,7.42791e-05,7.42791e-05,7.42791e-05
63,531.098,1.45922,1.33746,1.51874,0.81038,0.6966,0.78036,0.48254,1.44789,0.93734,1.4203,7.39722e-05,7.39722e-05,7.39722e-05
64,539.146,1.42945,1.28658,1.47573,0.8479,0.69543,0.78768,0.49346,1.41036,0.90738,1.39699,7.36653e-05,7.36653e-05,7.36653e-05
65,547.954,1.49087,1.31537,1.50524,0.82567,0.71945,0.79536,0.48888,1.42964,0.89208,1.40244,7.33584e-05,7.33584e-05,7.33584e-05
66,556.197,1.41136,1.16461,1.40749,0.87905,0.70586,0.80368,0.48528,1.48095,0.88673,1.41953,7.30515e-05,7.30515e-05,7.30515e-05
67,563.93,1.44576,1.24162,1.45672,0.73376,0.79142,0.81316,0.47566,1.53816,0.89251,1.44304,7.27446e-05,7.27446e-05,7.27446e-05
68,573.427,1.47845,1.2023,1.4668,0.75285,0.81675,0.82188,0.4686,1.57599,0.89938,1.46119,7.24377e-05,7.24377e-05,7.24377e-05
69,581.684,1.4935,1.30448,1.51376,0.76283,0.80457,0.82714,0.46973,1.59368,0.90284,1.46865,7.21308e-05,7.21308e-05,7.21308e-05
