metric_name,overall_avg,overall_std,overall_min,overall_max,beginner_avg,beginner_count,intermediate_avg,intermediate_count,advanced_avg,advanced_count,expert_avg,expert_count
prevention_rate,0.7323015873015873,0.35338979451883035,0.19999999999999998,1.0,0.21999999999999997,2,0.7722222222222221,6,0.7142857142857143,1,1.0,3
deep_thinking_rate,0.4574404761904762,0.39661787954239613,0.0,1.0,0.3666666666666667,2,0.19444444444444442,6,0.7142857142857143,1,0.9583333333333334,3
improvement_score,30.738614890400612,57.96235623779545,-39.48412698412699,123.21428571428572,-33.432539682539684,2,3.587962962962967,6,59.438775510204096,1,118.25396825396827,3
question_quality,0.07266865079365079,0.04326400394253991,0.0375,0.195,0.046166666666666675,2,0.05384722222222222,6,0.08785714285714287,1,0.12291666666666667,3
reflection_depth,0.4574404761904762,0.39661787954239613,0.0,1.0,0.3666666666666667,2,0.19444444444444442,6,0.7142857142857143,1,0.9583333333333334,3
concept_integration,0.5555555555555555,0.4991575394184176,0.0,1.0,1.0,2,0.27777777777777773,6,0.0,1,1.0,3
problem_solving,0.7323015873015873,0.35338979451883035,0.19999999999999998,1.0,0.21999999999999997,2,0.7722222222222221,6,0.7142857142857143,1,1.0,3
critical_thinking,0.6249091511692254,0.1923309722385987,0.4444444444444445,0.9333333333333332,0.4622222222222222,2,0.5122124822326307,6,0.7428571428571429,1,0.9194444444444443,3
scaffolding_effectiveness,0.17527777777777775,0.28572239947594164,0.0,0.7333333333333333,0.5599999999999998,2,0.12222222222222222,6,0.0,1,0.08333333333333333,3
engagement_rate,0.7331349206349206,0.3376352860829281,0.0,1.0,0.3666666666666667,2,0.725,6,0.7142857142857143,1,1.0,3
agent_coordination,0.5750000000000001,0.47121699305675996,0.0,1.0,0.0,2,0.48333333333333334,6,1.0,1,1.0,3
response_quality,0.9888888888888889,0.03849001794597505,0.8666666666666667,1.0,1.0,2,0.9777777777777779,6,1.0,1,1.0,3
